鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
蘆洲區,房地(土地+建物),新北市蘆洲區民權路９０號五樓,30.54,都市：其他:住宅區,,,1100731,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760625,106.38,7,3,3,有,無,10800000,101523,,0.0,0,頂樓加蓋；,RPRPMLOJQHGGFGF68DA,97.09,9.29,0.0,無,
三重區,房地(土地+建物)+車位,新北市三重區集勇街７０號十樓,29.56,都市：其他:住宅區,,,1100806,土地1建物1車位1,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041203,185.98000000000002,3,2,2,有,有,22600000,121518,坡道平面,43.71,0,,RPQQMLQKQHGGFGF98DA,83.5,14.61,0.0,有,0179
三重區,房地(土地+建物),新北市三重區長壽街３３巷７弄５號,16.88,都市：其他:商業區,,,1100824,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0651130,39.0,2,1,1,有,無,5150000,132051,,0.0,0,夾層；,RPSPMLLMQHGGFGF78DA,39.0,0.0,0.0,無,0180
蘆洲區,房地(土地+建物),新北市蘆洲區長安街５號二樓,29.4,都市：其他:住宅區,,,1100903,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770409,105.73,4,1,2,有,無,8000000,75664,,0.0,0,,RPUPMLNJRHGGFGF98DA,97.96,7.77,0.0,無,
蘆洲區,土地,保和段390地號,5.26,都市：其他:商業區,,,1100830,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1273189,242051,,0.0,0,買賣範圍包含全部地上物,RPOSMLSJRHGGFGF56DA,0.0,0.0,0.0,無,0181
蘆洲區,土地,保和段390地號,126.27,都市：其他:商業區,,,1100820,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,30556000,241989,,0.0,0,未登記建物；,RPPSMLSJRHGGFGF66DA,0.0,0.0,0.0,無,0181
三重區,房地(土地+建物),新北市三重區大同北路１３２巷８號十六樓之二,12.31,都市：其他:道路用地,,,1100810,土地2建物1車位0,十六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840830,85.03,3,1,1,有,有,12380000,145596,,0.0,0,,RPUOMLKKRHGGFGF68DA,57.51,8.2,0.0,有,0183
三重區,房地(土地+建物),新北市三重區三和路四段２０巷９３號三樓,25.25,都市：其他:住宅區,,,1100815,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0600516,87.13,4,1,1,有,無,8650000,99277,,0.0,0,,RPVOMLLKRHGGFGF88DA,87.13,0.0,0.0,無,
蘆洲區,房地(土地+建物),新北市蘆洲區集賢路１９６巷７號二樓,23.91,都市：其他:住宅區,,,1100821,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970306,113.28999999999999,3,2,1,有,有,15750000,139024,,0.0,0,,RPPPMLLKRHGGFGF38DA,79.49,8.76,0.0,有,0184
三重區,房地(土地+建物)+車位,新北市三重區集賢路１１０號二十六樓,54.7,都市：其他:住宅區,,,1100730,土地1建物1車位2,二十六層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1000527,350.29999999999995,0,0,0,無,有,43000000,122752,坡道平面,79.06,0,,RPOQMLQJRHGGFGF78DA,165.57,20.0,0.0,有,
蘆洲區,房地(土地+建物),新北市蘆洲區中山一路７４巷１０號,20.89,都市：其他:住宅區,,,1100819,土地1建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0640106,63.45,3,2,1,有,無,11500000,181245,,0.0,0,其他增建；,RPVPMLLKRHGGFGF98DA,63.45,0.0,0.0,無,
三重區,房地(土地+建物),新北市三重區仁愛街１２５巷３號四樓,20.0,都市：其他:住宅區,,,1100817,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670202,68.0,5,1,2,有,無,7250000,106618,,0.0,0,4樓格局2房1廳1衛頂樓格局3房0廳1衛陽台外推；頂樓加蓋；,RPWOMLNKRHGGFGF56DA,68.0,0.0,0.0,無,
三重區,房地(土地+建物),新北市三重區自強路三段７６巷９號三樓,17.4,都市：其他:住宅區,,,1100803,土地1建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670811,81.0,3,1,1,有,無,8028000,99111,,0.0,0,,RPQQMLKKRHGGFGF48DA,81.0,0.0,0.0,無,0185
中和區,房地(土地+建物),新北市中和區景平路３９２號七樓之八,3.7,都市：其他:住宅區,,,1100726,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960321,38.86,1,1,1,有,有,6350000,163407,,0.0,0,其他增建；,RPXPMLRKQHGGFHF17DA,26.13,1.67,0.0,有,0186
中和區,房地(土地+建物),新北市中和區景德街３０號三樓之三,4.67,都市：其他:住宅區,,,1100801,土地1建物1車位0,三層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861104,66.94,2,2,1,有,有,9880000,147595,,0.0,0,陽台外推；其他增建；,RPURMLTKQHGGFHF27DA,41.69,11.64,0.0,有,
永和區,房地(土地+建物),新北市永和區秀朗路二段８２巷５弄１號三樓,46.88,都市：其他:住宅區,,,1100822,土地1建物1車位0,三層，平台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671227,119.7,4,2,2,有,無,12000000,100251,,0.0,0,,RPPRMLPLQHGGFHF09DA,119.7,0.0,0.0,無,
中和區,房地(土地+建物),新北市中和區景平路７０３巷２弄７號四樓,31.32,都市：其他:住宅區,,,1100805,土地1建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670612,85.1,3,1,1,有,無,8600000,101058,,0.0,0,,RPTQMLSJRHGGFHF96DA,85.1,0.0,0.0,無,
中和區,房地(土地+建物)+車位,新北市中和區中原街１００號十九樓,26.87,都市：其他:住宅區,,,1100730,土地1建物1車位1,十九層,二十三層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1091202,159.14,2,2,2,有,有,20400000,141558,坡道平面,31.63,2350000,地主戶買賣；總價2040萬元包含土地12274000元、房屋5776000元、車位235萬元,RPVRMLKKRHGGFHF56DA,74.27,9.88,0.0,有,
永和區,房地(土地+建物)+車位,新北市永和區仁愛路３０９號五樓之三,8.01,都市：其他:住宅區,,,1100815,土地1建物1車位1,五層,十七層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0900418,104.57,1,1,1,有,有,11800000,112843,坡道平面,0.0,0,,RPUQMLKKRHGGFHF98DA,32.57,7.04,0.0,有,
中和區,房地(土地+建物),新北市中和區中興街２３３巷８弄１５號,151.36,都市：其他:住宅區,,,1100803,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0580510,134.5,5,2,2,有,無,29750000,221190,,0.0,0,陽台外推；,RPTPMLLKRHGGFHF88DA,134.5,0.0,0.0,無,
永和區,房地(土地+建物),新北市永和區安樂路３３８號四樓,15.15,都市：其他:商業區,,,1100827,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670714,60.38,2,2,1,有,無,8480000,140444,,0.0,0,,RPUPMLLKRHGGFHF98DA,58.39,1.99,0.0,無,0187
中和區,房地(土地+建物),新北市中和區景平路５９之２０號十一樓,2.53,都市：其他:住宅區,,,1100822,土地1建物1車位0,十一層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851030,31.619999999999997,1,0,1,有,有,4700000,148640,,0.0,0,,RPVPMLLKRHGGFHF09DA,27.08,0.57,0.0,有,0188
中和區,房地(土地+建物),新北市中和區工專路１２８號七樓,13.91,都市：其他:住宅區,,,1100812,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土構造,1100325,100.74000000000001,2,2,1,有,有,13990000,138872,,0.0,0,,RPOSMLKKRHGGFHF58DA,53.67,11.95,0.0,有,0189
三峽區,房地(土地+建物)+車位,新北市三峽區大學路８５號三樓之二十六,9.45,都市：其他:住宅區,,,1100812,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1010608,54.14,1,1,1,有,有,6160000,113779,坡道平面,17.51,0,,RPWSMLRLQHGGFIF57DA,21.92,2.32,0.0,有,0190
三峽區,房地(土地+建物)+車位,新北市三峽區大學路５號九樓之一,32.88,都市：其他:住宅區(係供安置計畫區原住戶之用),,,1100810,土地2建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1060106,163.76999999999998,3,2,2,有,有,16450000,100446,坡道平面,30.02,0,,RPVOMLNJRHGGFIF56DA,87.23,8.69,0.0,有,0191
三峽區,房地(土地+建物),新北市三峽區大同路１８號八樓之７,12.44,都市：其他:住宅區,,,1100829,土地1建物1車位0,八層，夾層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861226,73.51,3,2,1,有,有,6660000,90600,,0.0,0,夾層；,RPQOMLRJRHGGFIF09DA,52.07,5.75,0.0,有,0192
樹林區,房地(土地+建物)+車位,新北市樹林區三龍街１１３之１號三樓,44.96,都市：其他:乙種工業區,,,1100824,土地1建物1車位2,三層,九層,華廈(10層含以下有電梯),一般事務所,鋼筋混凝土造,0990315,208.54000000000002,2,2,2,有,有,12500000,59941,坡道平面,82.0,0,,RPPNMLKKRHGGFIF28DA,79.08,10.79,0.0,有,
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區中山路１５３之１號九樓,29.33,都市：其他:第一種住宅區,,,1100827,土地1建物1車位2,九層,二十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1061226,227.24,3,2,2,有,有,17000000,74811,坡道平面,82.96,0,,RPXNMLKKRHGGFIF09DA,82.11,14.92,0.0,有,0193
樹林區,房地(土地+建物),新北市樹林區俊英街２０７號二樓之２,9.91,都市：其他:住宅區,,,1100704,土地1建物1車位0,二層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840211,109.3,3,2,2,有,有,9050000,82800,,0.0,0,,RPXOMLKKRHGGFIF56DA,81.6,9.31,0.0,有,0194
樹林區,房地(土地+建物),新北市樹林區保安街二段２９３號五樓,24.1,都市：其他:住宅區,,,1100801,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711030,91.08,2,2,2,有,無,5780000,63461,,0.0,0,,RPSNMLLKRHGGFIF68DA,85.8,5.28,0.0,無,0195
樹林區,房地(土地+建物)+車位,新北市樹林區學勤路５１６號二十二樓,22.37,都市：其他:住宅區,,,1100807,土地1建物1車位1,二十二層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960929,187.73000000000002,3,1,2,有,有,20200000,107601,坡道平面,34.1,0,,RPRPMLTJRHGGFIF86DA,101.95,14.94,0.0,有,
土城區,土地,土城段869地號,2.06,都市：其他:第二種商業區,,,1100825,土地8建物0車位0,,,其他,,,,0.0,0,0,0,無,無,284709,138208,,0.0,0,,RPURMLNJRHGGFAF68EA,0.0,0.0,0.0,無,0087
板橋區,房地(土地+建物),新北市板橋區大觀路三段１３３巷１號四樓之二,16.78,都市：其他:第一種住宅區,,,1100727,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850322,95.41,3,1,1,有,有,9100000,95378,,0.0,0,陽台外推；,RPRNMLTJRHGGFAF58EA,57.15,12.24,0.0,有,0197
板橋區,房地(土地+建物),新北市板橋區文化路二段３０７號五樓,5.56,都市：其他:住宅區,,,1100803,土地2建物1車位0,五層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860729,95.86,2,2,1,有,有,20700000,215940,,0.0,0,,RPSQNLKKRHGGFAF28EA,66.01,8.01,0.0,有,0198
板橋區,房地(土地+建物),新北市板橋區民治街１１９巷５號二樓,23.75,都市：其他:住宅區,,,1100731,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,70.98,3,2,1,有,無,8500000,119752,,0.0,0,陽台外推；,RPOQMLNKRHGGFAF08EA,70.98,0.0,0.0,無,
五股區,房地(土地+建物)+車位,新北市五股區西雲路８８巷２１號,23.31,都市：其他:住宅區,,,1100812,土地1建物1車位1,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810317,133.07,5,2,2,有,有,12000000,94909,坡道機械,17.18,1000000,其他增建；,RPOQMLNKRHGGFBF18EA,107.54,18.9,0.0,有,0199
新店區,房地(土地+建物)+車位,新北市新店區中正路７００巷４９號二樓,38.52,都市：其他:第四種住宅區,,,1100815,土地1建物1車位1,二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890225,222.12,3,2,2,有,有,26180000,117864,坡道平面,0.0,0,陽台外推；其他增建；,RPRPMLLKRHGGFCF28EA,118.34,20.89,0.0,有,0200
五股區,房地(土地+建物)+車位,新北市五股區五福路５２巷１１弄２號五樓,41.03,都市：其他:住宅區,,,1100720,土地1建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790706,179.79,4,2,2,有,有,15500000,86212,坡道平面,0.0,0,,RPUOMLLKRHGGFBF38EA,121.3,27.02,0.0,有,
五股區,土地,更寮段鴨母港小段25-4地號,43.6,,一般農業區,甲種建築用地,1100907,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,80275,,0.0,0,,RPVOMLLKRHGGFBF48EA,0.0,0.0,0.0,無,0201
新店區,房地(土地+建物),新北市新店區錦秀路２０巷３０號,32.9,都市：其他:溝渠用地,,,1100820,土地7建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710227,83.4,4,2,1,有,有,7800000,93525,,0.0,0,陽台外推；未登記建物；,RPPPMLLKRHGGFCF08EA,70.4,13.0,0.0,無,
新店區,車位,新北市新店區北宜路二段１２３號地下二層,7.83,都市：其他:第三種住宅區。,,,1100907,土地1建物1車位1,地下二層,二十二層,其他,社區活動中心,鋼骨造,0900120,51.91,0,0,0,有,有,2000000,,坡道平面,44.86,2000000,本車位伴隨至建物移轉其中44.86平方公尺為車位面積僅車位交易；,RPVNMLLKRHGGFCF48EA,0.0,0.0,0.0,有,0202
汐止區,房地(土地+建物)+車位,新北市汐止區水源路一段２９１巷５號四樓之１,20.52,都市：其他:第二種住宅區,,,1100811,土地1建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981230,151.12,2,2,2,有,有,15650000,103560,坡道平面,28.73,0,陽台外推；,RPQOMLLKRHGGFDF18EA,71.64,14.02,0.0,有,
汐止區,土地,昊天段158地號,26.08,都市：其他:第二種住宅區,,,1100825,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5090000,195169,,0.0,0,,RPTOMLLKRHGGFDF48EA,0.0,0.0,0.0,無,0203
汐止區,車位,新北市汐止區湖前街１１０巷９７弄１至２３號等地下一、二、三、四、五層,2.9,,山坡地保育區,丙種建築用地,1100830,土地8建物1車位1,地下一層，地下二層，地下三層，地下四層，地下五層,二十八層,其他,防空避難室兼停車空間,鋼筋混凝土造,0881202,36.949999999999996,0,0,0,有,有,980000,,坡道平面,36.95,0,僅車位交易；,RPOPMLLKRHGGFDF08EA,0.0,0.0,0.0,有,0204
汐止區,車位,新北市汐止區湖前街１１０巷９７弄１至２３號等地下一、二、三、四、五層,2.58,,山坡地保育區,丙種建築用地,1100901,土地4建物1車位1,地下一層，地下二層，地下三層，地下四層，地下五層,二十八層,其他,防空避難室兼停車空間,鋼筋混凝土造,0881202,36.949999999999996,0,0,0,有,有,950000,,坡道平面,36.95,0,僅車位交易；,RPPPMLLKRHGGFDF18EA,0.0,0.0,0.0,有,0204
金山區,土地,三和段762地號,314.06,,特定農業區,農牧用地,1100815,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,950000,3025,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLNKRHGGFDF48EA,0.0,0.0,0.0,無,
汐止區,房地(土地+建物),新北市汐止區建成路５９巷７３號五樓,10.46,都市：其他:第二種住宅區,,,1100816,土地2建物1車位0,五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871113,76.42,3,2,2,有,有,9680000,126668,,0.0,0,,RPQPMLRJRHGGFDF78EA,52.14,7.95,0.0,有,
淡水區,房地(土地+建物)+車位,新北市淡水區中正東路二段８３號十四樓之１５,3.46,都市：其他:道路用地,,,1100717,土地5建物1車位1,十四層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,0920922,63.269999999999996,1,1,1,有,有,6660000,105280,坡道機械,10.74,0,,RPORMLSJRHGGFEF98EA,34.12,5.1,0.0,有,
淡水區,房地(土地+建物),新北市淡水區新民街１８０巷２６號,67.43,都市：其他:住宅區,,,1100817,土地2建物1車位0,一層，停車場,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770730,105.34,4,0,4,有,無,10600000,100627,,0.0,0,該買賣件含租用國有地。隔4套。其他增建；,RPUOMLTJRHGGFEF76EA,93.34,12.0,0.0,無,
石門區,土地,頭圍段楓林小段16地號,1683.0,都市：其他:農業區,,,1100629,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9980000,5930,,0.0,0,,RPOPMLTJRHGGFEF88EA,0.0,0.0,0.0,無,0206
淡水區,房地(土地+建物)+車位,新北市淡水區新春街８５巷２５弄１５號七樓,29.85,都市：其他:住宅區,,,1100731,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041028,171.61,3,2,2,有,有,11500000,71791,坡道平面,29.53,1300000,,RPPPMLTJRHGGFEF98EA,85.36,14.05,0.0,有,0207
淡水區,房地(土地+建物)+車位,新北市淡水區中山北路二段１８９巷５０號十一樓,10.96,都市：其他:第五種住宅區,,,1100902,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020223,82.92,1,1,1,有,有,7090000,85504,坡道機械,13.59,0,,RPQOMLKKRHGGFEF18EA,43.59,6.99,0.0,有,0208
淡水區,房地(土地+建物)+車位,新北市淡水區新市二路三段１６８號七樓,19.29,都市：其他:第六種住宅區,,,1100807,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031127,163.18,3,2,2,有,有,10600000,64959,坡道平面,28.69,0,,RPPNMLLKRHGGFEF08EA,77.15,18.9,0.0,有,0209
淡水區,房地(土地+建物)+車位,新北市淡水區民生路１５２號十三樓,15.41,都市：其他:住宅區(四),,,1100808,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840801,128.01,3,2,1,有,有,10800000,84368,坡道平面,0.0,1500000,陽台外推；其他增建；,RPUNMLLKRHGGFEF58EA,57.32,8.54,0.0,有,0210
淡水區,房地(土地+建物),新北市淡水區八勢一街６３巷４６號七樓,20.71,都市：其他:住宅區(二),,,1100810,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0971125,116.97999999999999,3,2,2,有,有,8500000,72662,,0.0,0,陽台外推；其他增建；,RPVNMLLKRHGGFEF68EA,66.48,16.1,0.0,有,
